Symbol,Open,Close,O-C change (%),High,Low,H-L change (%),DateTime,Market Sensitive,Headline,Link
AIS,0.036,0.039,8.33,0.043,0.035,22.86,2020-07-06 11:54:00,True,AERIS UNDERTAKES A$ GOLD HEDGING FOR CRACOW,https://www.asx.com.au/asx/statistics/displayAnnouncement.do?display=pdf&idsId=02251961
NEU,1.38,1.35,-2.17,1.385,1.33,4.14,2020-07-06 11:54:00,False,Appendix 2A,https://www.asx.com.au/asx/statistics/displayAnnouncement.do?display=pdf&idsId=02251960
KAS,0.01,0.009,-10.0,0.011,0.007,57.14,2020-07-06 11:53:00,False,Voluntary Delisting from ASX - Removal Request Decision,https://www.asx.com.au/asx/statistics/displayAnnouncement.do?display=pdf&idsId=02251959
FDX,0.02,0.02,0.0,0.02,0.02,0.0,2020-07-06 11:52:00,False,Board Changes,https://www.asx.com.au/asx/statistics/displayAnnouncement.do?display=pdf&idsId=02251958
WHF,4.46,4.52,1.35,4.52,4.46,1.35,2020-07-06 11:49:00,False,2020 Share Purchase Plan - Issue Price,https://www.asx.com.au/asx/statistics/displayAnnouncement.do?display=pdf&idsId=02251957
WCM,,,,,,,2020-07-06 11:47:00,False,Monthly Redemptions and Units on issue at 30 June 2020,https://www.asx.com.au/asx/statistics/displayAnnouncement.do?display=pdf&idsId=02251956
FFL,0.28,0.26,-7.14,0.29,0.26,11.54,2020-07-06 11:46:00,False,FFL & Ultra Commerce / AWS partner on Digital Commerce,https://www.asx.com.au/asx/statistics/displayAnnouncement.do?display=pdf&idsId=02251955
IXR,0.007,0.008,14.29,0.008,0.007,14.29,2020-07-06 11:45:00,False,Ceasing to be a substantial holder,https://www.asx.com.au/asx/statistics/displayAnnouncement.do?display=pdf&idsId=02251954
TNE,8.8,8.97,1.93,9.08,8.79,3.3,2020-07-06 11:41:00,False,Change in substantial holding,https://www.asx.com.au/asx/statistics/displayAnnouncement.do?display=pdf&idsId=02251953
SWT,,,,,,,2020-07-06 11:41:00,False,Monthly Redemptions and Units on issue at 30 June 2020,https://www.asx.com.au/asx/statistics/displayAnnouncement.do?display=pdf&idsId=02251952
IRE,11.17,11.09,-0.72,11.33,11.0,3.0,2020-07-06 11:41:00,False,Change in substantial holding,https://www.asx.com.au/asx/statistics/displayAnnouncement.do?display=pdf&idsId=02251951
RXM,0.1,0.11,10.0,0.115,0.1,15.0,2020-07-06 11:40:00,True,Rex Minerals Investor Presentation,https://www.asx.com.au/asx/statistics/displayAnnouncement.do?display=pdf&idsId=02251950
ITG,0.225,0.23,2.22,0.245,0.225,8.89,2020-07-06 11:40:00,False,Change in substantial holding,https://www.asx.com.au/asx/statistics/displayAnnouncement.do?display=pdf&idsId=02251949
IFM,1.735,1.775,2.31,1.79,1.712,4.56,2020-07-06 11:39:00,False,Change in substantial holding,https://www.asx.com.au/asx/statistics/displayAnnouncement.do?display=pdf&idsId=02251948
HUB,10.8,11.15,3.24,11.42,10.8,5.74,2020-07-06 11:39:00,False,Change in substantial holding,https://www.asx.com.au/asx/statistics/displayAnnouncement.do?display=pdf&idsId=02251947
